Date (YYYYMMDD);Hour;Inflow (m^3/s)
20040101;1;2.482288122
20040101;2;2.312119722
20040101;3;2.165612698
20040101;4;2.200443268
20040101;5;2.128833532
20040101;6;2.033798218
20040101;7;2.078501463
20040101;8;1.974563599
20040101;9;1.939589977
20040101;10;1.92676425
20040101;11;1.894569993
20040101;12;1.824403048
20040101;13;1.820881128
20040101;14;1.805796623
20040101;15;1.751693249
20040101;16;1.731096745
20040101;17;1.728608489
20040101;18;1.687639117
20040101;19;1.67702949
20040101;20;1.671769381
20040101;21;1.655549407
20040101;22;1.645406008
20040101;23;1.6378268
20040101;24;1.631041765
20040102;1;1.62491107
20040102;2;1.619342804
20040102;3;1.614241719
20040102;4;1.609538436
20040102;5;1.606870651
20040102;6;1.60886991
20040102;7;1.606258154
20040102;8;1.602566123
20040102;9;1.62391758
20040102;10;1.633255363
20040102;11;1.698391557
20040102;12;2.071531296
20040102;13;2.291429281
20040102;14;2.003726244
20040102;15;2.656042576
20040102;16;3.166687965
20040102;17;2.720700026
20040102;18;2.991729736
20040102;19;3.613724232
20040102;20;3.266020536
20040102;21;3.097332239
20040102;22;3.534330368
20040102;23;2.998759031
20040102;24;2.680500507
20040103;1;2.900306225
20040103;2;2.585767508
20040103;3;2.60284853
20040103;4;2.707990408
20040103;5;2.387909651
20040103;6;2.416019917
20040103;7;2.337070227
20040103;8;2.298497438
20040103;9;1.991901517
20040103;10;1.970294476
20040103;11;1.977979898
20040103;12;1.756608367
20040103;13;1.701934576
20040103;14;1.682126284
20040103;15;1.628597736
20040103;16;1.598203659
20040103;17;1.577492833
20040103;18;1.560293198
20040103;19;1.545939565
20040103;20;1.533902764
20040103;21;1.523759246
20040103;22;1.515168309
20040103;23;1.507852435
20040103;24;1.501586199
20040104;1;1.496188164
20040104;2;1.491509914
20040104;3;1.487429023
20040104;4;1.483845234
20040104;5;1.480678678
20040104;6;1.477864742
20040104;7;1.475350142
20040104;8;1.473091602
20040104;9;1.4710536
20040104;10;1.46920681
20040104;11;1.467527628
20040104;12;1.465996146
20040104;13;1.464595795
20040104;14;1.463313341
20040104;15;1.462138057
20040104;16;1.461060047
20040104;17;1.460071206
20040104;18;1.459165573
20040104;19;1.458338499
20040104;20;1.457585096
20040104;21;1.456900716
20040104;22;1.45628202
20040104;23;1.455725789
20040104;24;1.455229163
20040105;1;1.454789519
20040105;2;1.454405069
20040105;3;1.454075933
20040105;4;1.453802109
20040105;5;1.453582168
20040105;6;1.453417182
20040105;7;1.453308225
20040105;8;1.453254819
20040105;9;1.453256249
20040105;10;1.453312159
20040105;11;1.453423738
20040105;12;1.4535923
